trust_code,region,trust_name,period,total_attendances,within_4hrs,pct_4hrs_total,pct_4 hrs_type1,total_emergency_dmissions,over_12hrs
L83087,NHS England South West ,Okehampton Medical Centre,2025-04,77,77,100.0,,0,0
NQT5H,NHS England South West ,Paulton Memorial Hospital,2025-04,913,908,99.5,,0,0
REF,NHS England South West ,Royal Cornwall Hospitals NHS Trust,2025-04,"19,195","15,213",79.3,49.5,"3,706",457
RH8,NHS England South West ,Royal Devon University Healthcare NHS Foundation Trust,2025-04,"17,644","12,247",69.4,60.0,"5,437",214
RD1,NHS England South West ,Royal United Hospitals Bath NHS Foundation Trust,2025-04,"8,660","5,038",58.2,58.2,"4,354",120
RNZ,NHS England South West ,Salisbury NHS Foundation Trust,2025-04,"7,070","4,891",69.2,55.5,"2,277",57
NLX,NHS England South West ,Sirona Care & Health,2025-04,"9,107","8,734",95.9,,0,0
RH5,NHS England South West ,Somerset NHS Foundation Trust,2025-04,"22,152","15,796",71.3,50.9,"4,833",175
RYF,NHS England South West ,South Western Ambulance Service NHS Foundation Trust,2025-04,"1,905","1,879",98.6,,0,0
AAH,NHS England South West ,Tetbury Hospital Trust Ltd,2025-04,536,536,100.0,,0,0
RA9,NHS England South West ,Torbay And South Devon NHS Foundation Trust,2025-04,"10,208","7,419",72.7,59.1,"3,414",23
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,2025-04,"17,384","11,785",67.8,64.1,"6,426",486
R0D,NHS England South West ,University Hospitals Dorset NHS Foundation Trust,2025-04,"19,084","13,481",70.6,59.0,"6,700",185
RK9,NHS England South West ,University Hospitals Plymouth NHS Trust,2025-04,"14,545","9,751",67.0,48.0,"4,302",583
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,2025-06,"25,273","18,512",73.2,59.8,"7,019",0
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,2025-06,"17,542","12,943",73.8,60.2,"3,430",236
